status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2333.0,unknown/no savings account,,4.0,male : single,none,2.0,building society savings agreement/life insurance,29.0,bank,own,1.0,unskilled - resident,1.0,no,yes,1
,27.0,delay in paying off in the past,car (used),5965.0,... < 100 DM,,1.0,male : single,none,2.0,car or other,,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,,1
no checking account,12.0,existing credits paid back duly till now,domestic appliances,1262.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,none,,car or other,25.0,,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,18.0,existing credits paid back duly till now,car (used),3378.0,unknown/no savings account,1 <= ... < 4 years,2.0,male : single,none,1.0,building society savings agreement/life insurance,31.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,36.0,delay in paying off in the past,car (new),,... < 100 DM,... >= 7 years,,male : single,none,4.0,unknown/no property,57.0,,for free,2.0,skilled employee/official,1.0,yes,yes,0
no checking account,6.0,all credits at this bank paid back duly,car (new),783.0,unknown/no savings account,1 <= ... < 4 years,1.0,male : single,guarantor,2.0,real estate,,stores,own,1.0,unskilled - resident,2.0,no,,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,,6468.0,unknown/no savings account,unemployed,,male : single,none,1.0,unknown/no property,52.0,,,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,36.0,critical account/other credits existing,domestic appliances,9566.0,,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,car or other,31.0,stores,own,2.0,skilled employee/official,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,18.0,existing credits paid back duly till now,,1961.0,... < 100 DM,,3.0,female : divorced/separated/married,none,,car or other,23.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
... < 100 DM,,critical account/other credits existing,radio/television,,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,co-applicant,4.0,unknown/no property,23.0,none,rent,2.0,unskilled - resident,1.0,yes,yes,0
0 <= ... < 200 DM,9.0,,others,1391.0,... < 100 DM,1 <= ... < 4 years,2.0,male : married/widowed,none,1.0,real estate,27.0,bank,own,1.0,skilled employee/official,1.0,yes,yes,1
,15.0,critical account/other credits existing,domestic appliances,,unknown/no savings account,... >= 7 years,,male : single,,4.0,real estate,50.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,36.0,no credits taken/all credits paid back duly,others,1953.0,... < 100 DM,... >= 7 years,4.0,male : single,,4.0,,61.0,none,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
0 <= ... < 200 DM,48.0,no credits taken/all credits paid back duly,others,14421.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,,2.0,car or other,25.0,none,own,1.0,skilled employee/official,1.0,yes,yes,0
no checking account,24.0,existing credits paid back duly till now,domestic appliances,3181.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,26.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,27.0,existing credits paid back duly till now,education,5190.0,,... >= 7 years,4.0,,none,4.0,building society savings agreement/life insurance,48.0,none,own,4.0,skilled employee/official,2.0,yes,yes,1
no checking account,12.0,existing credits paid back duly till now,domestic appliances,2171.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,2.0,car or other,29.0,bank,own,1.0,skilled employee/official,1.0,no,,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,car (new),1007.0,... >= 1000 DM,1 <= ... < 4 years,4.0,male : married/widowed,,1.0,real estate,22.0,none,own,1.0,skilled employee/official,,no,yes,1
no checking account,36.0,,,1819.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown/no property,37.0,stores,for free,1.0,,1.0,,yes,0
no checking account,36.0,existing credits paid back duly till now,domestic appliances,2394.0,unknown/no savings account,1 <= ... < 4 years,4.0,female : divorced/separated/married,,4.0,car or other,25.0,none,own,,skilled employee/official,1.0,no,yes,1
no checking account,36.0,existing credits paid back duly till now,car (used),,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,30.0,bank,own,1.0,skilled employee/official,1.0,,yes,1
no checking account,7.0,,domestic appliances,730.0,,... >= 7 years,,male : single,none,2.0,,46.0,,rent,,unskilled - resident,1.0,yes,yes,1
... < 100 DM,8.0,critical account/other credits existing,furniture/equipment,,,... >= 7 years,3.0,male : single,none,4.0,,51.0,bank,for free,2.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,1
0 <= ... < 200 DM,42.0,critical account/other credits existing,others,,... < 100 DM,4 <= ... < 7 years,2.0,female : divorced/separated/married,none,1.0,real estate,,bank,own,2.0,unskilled - resident,1.0,no,yes,1
... < 100 DM,36.0,existing credits paid back duly till now,retraining,,,,,male : single,,4.0,,40.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,12.0,critical account/other credits existing,car (used),1526.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,unknown/no property,66.0,none,for free,2.0,management/self-employed/highly qualified employee/officer,1.0,no,,1
... < 100 DM,,,domestic appliances,3965.0,... < 100 DM,... < 1 year,4.0,male : single,none,,car or other,34.0,none,own,,,1.0,no,yes,0
0 <= ... < 200 DM,11.0,delay in paying off in the past,domestic appliances,4771.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,4.0,building society savings agreement/life insurance,51.0,none,own,1.0,skilled employee/official,1.0,no,,1
,54.0,,car (used),9436.0,unknown/no savings account,1 <= ... < 4 years,2.0,male : single,,2.0,building society savings agreement/life insurance,39.0,none,own,,,2.0,no,,1
0 <= ... < 200 DM,,existing credits paid back duly till now,radio/television,3832.0,... < 100 DM,... < 1 year,2.0,,none,1.0,building society savings agreement/life insurance,22.0,none,own,,,1.0,no,yes,1
,24.0,existing credits paid back duly till now,domestic appliances,5943.0,unknown/no savings account,... < 1 year,,female : divorced/separated/married,none,1.0,car or other,44.0,none,own,2.0,skilled employee/official,1.0,yes,yes,0
no checking account,15.0,existing credits paid back duly till now,domestic appliances,1213.0,500 <= ... < 1000 DM,... >= 7 years,4.0,,none,3.0,building society savings agreement/life insurance,47.0,stores,,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,18.0,,others,1568.0,100 <= ... < 500 DM,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,,none,rent,1.0,,1.0,,yes,1
... < 100 DM,24.0,existing credits paid back duly till now,furniture/equipment,1755.0,,... >= 7 years,4.0,female : divorced/separated/married,guarantor,4.0,real estate,58.0,none,own,1.0,unskilled - resident,1.0,yes,yes,1
... < 100 DM,10.0,existing credits paid back duly till now,domestic appliances,,... < 100 DM,,,male : single,none,4.0,real estate,52.0,none,own,1.0,unskilled - resident,,,yes,1
no checking account,12.0,critical account/other credits existing,others,1412.0,... < 100 DM,1 <= ... < 4 years,4.0,,guarantor,2.0,,29.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,radio/television,1295.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,1.0,building society savings agreement/life insurance,27.0,none,,2.0,,1.0,no,yes,1
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,retraining,12612.0,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,male : single,none,4.0,,47.0,none,for free,1.0,skilled employee/official,2.0,yes,yes,0
... < 100 DM,18.0,existing credits paid back duly till now,car (new),,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,male : single,none,3.0,car or other,30.0,none,own,1.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,1
... < 100 DM,12.0,no credits taken/all credits paid back duly,education,1108.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,none,3.0,real estate,28.0,none,own,2.0,skilled employee/official,,no,yes,0
,12.0,critical account/other credits existing,domestic appliances,,... < 100 DM,... >= 7 years,4.0,male : single,,4.0,real estate,56.0,none,own,1.0,,1.0,,yes,1
... < 100 DM,12.0,critical account/other credits existing,car (used),1409.0,... < 100 DM,,4.0,,none,3.0,real estate,54.0,none,,1.0,skilled employee/official,1.0,no,yes,1
no checking account,12.0,,domestic appliances,797.0,unknown/no savings account,,4.0,female : divorced/separated/married,,3.0,building society savings agreement/life insurance,33.0,bank,own,1.0,unskilled - resident,,no,yes,0
,,critical account/other credits existing,radio/television,3617.0,unknown/no savings account,... >= 7 years,4.0,,co-applicant,4.0,unknown/no property,20.0,none,,2.0,skilled employee/official,1.0,,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,car (new),1318.0,... >= 1000 DM,... >= 7 years,4.0,,none,4.0,real estate,54.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,54.0,,others,15945.0,,... < 1 year,3.0,male : single,,4.0,unknown/no property,58.0,none,rent,1.0,skilled employee/official,1.0,yes,yes,0
no checking account,12.0,critical account/other credits existing,retraining,2012.0,unknown/no savings account,4 <= ... < 7 years,4.0,female : divorced/separated/married,,2.0,car or other,61.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,others,2622.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,car or other,34.0,none,own,1.0,skilled employee/official,,no,yes,1
0 <= ... < 200 DM,36.0,critical account/other credits existing,domestic appliances,2337.0,... < 100 DM,... >= 7 years,,,none,4.0,real estate,36.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,20.0,delay in paying off in the past,car (used),7057.0,unknown/no savings account,4 <= ... < 7 years,3.0,male : single,,4.0,building society savings agreement/life insurance,36.0,bank,rent,2.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,car (new),,100 <= ... < 500 DM,... >= 7 years,4.0,male : married/widowed,none,4.0,real estate,41.0,none,rent,1.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,domestic appliances,2323.0,,4 <= ... < 7 years,4.0,male : single,none,4.0,car or other,24.0,none,rent,1.0,skilled employee/official,1.0,no,yes,1
no checking account,,delay in paying off in the past,domestic appliances,932.0,... < 100 DM,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,2.0,real estate,,none,own,1.0,skilled employee/official,1.0,no,,1
0 <= ... < 200 DM,9.0,critical account/other credits existing,radio/television,,... < 100 DM,4 <= ... < 7 years,4.0,male : single,none,3.0,car or other,35.0,none,rent,1.0,skilled employee/official,,yes,yes,1
no checking account,,existing credits paid back duly till now,car (used),2445.0,unknown/no savings account,... < 1 year,2.0,,none,4.0,car or other,26.0,none,rent,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,24.0,critical account/other credits existing,furniture/equipment,11938.0,,1 <= ... < 4 years,2.0,,co-applicant,,car or other,39.0,none,own,2.0,management/self-employed/highly qualified employee/officer,2.0,,yes,0
no checking account,18.0,,car (new),,,... >= 7 years,2.0,,none,4.0,unknown/no property,39.0,bank,own,2.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,0
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,car (new),6078.0,... < 100 DM,4 <= ... < 7 years,,male : single,none,2.0,car or other,32.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,24.0,existing credits paid back duly till now,radio/television,7721.0,unknown/no savings account,... < 1 year,1.0,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,30.0,none,own,1.0,skilled employee/official,,,no,1
0 <= ... < 200 DM,14.0,existing credits paid back duly till now,others,1410.0,,... >= 7 years,1.0,male : married/widowed,,2.0,real estate,35.0,none,,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,6.0,delay in paying off in the past,others,1449.0,100 <= ... < 500 DM,... >= 7 years,1.0,male : divorced/separated,none,2.0,car or other,31.0,bank,own,2.0,skilled employee/official,2.0,no,yes,1
... >= 200 DM / salary for at least 1 year,15.0,existing credits paid back duly till now,retraining,392.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,23.0,none,rent,1.0,skilled employee/official,1.0,yes,,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,3.0,real estate,28.0,none,rent,1.0,,1.0,no,yes,1
no checking account,36.0,critical account/other credits existing,car (new),7855.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,,25.0,stores,own,2.0,skilled employee/official,1.0,yes,yes,0
... < 100 DM,12.0,existing credits paid back duly till now,domestic appliances,1680.0,500 <= ... < 1000 DM,... >= 7 years,3.0,male : married/widowed,none,1.0,real estate,35.0,none,own,,skilled employee/official,,no,yes,1
no checking account,48.0,critical account/other credits existing,domestic appliances,3578.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,1.0,real estate,,none,own,1.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,42.0,existing credits paid back duly till now,,,unknown/no savings account,4 <= ... < 7 years,,female : divorced/separated/married,none,3.0,car or other,30.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,0
... < 100 DM,10.0,critical account/other credits existing,radio/television,2132.0,unknown/no savings account,... < 1 year,2.0,female : divorced/separated/married,co-applicant,3.0,real estate,27.0,none,rent,2.0,skilled employee/official,,no,no,1
... < 100 DM,33.0,critical account/other credits existing,radio/television,4281.0,500 <= ... < 1000 DM,1 <= ... < 4 years,1.0,,none,4.0,car or other,23.0,none,own,2.0,skilled employee/official,1.0,,yes,0
0 <= ... < 200 DM,12.0,critical account/other credits existing,car (new),2366.0,500 <= ... < 1000 DM,4 <= ... < 7 years,,male : divorced/separated,none,3.0,,36.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,21.0,existing credits paid back duly till now,domestic appliances,1835.0,... < 100 DM,1 <= ... < 4 years,3.0,,none,2.0,real estate,25.0,none,own,2.0,skilled employee/official,1.0,yes,yes,0
no checking account,24.0,,,3868.0,... < 100 DM,... >= 7 years,,female : divorced/separated/married,none,2.0,car or other,41.0,none,rent,2.0,management/self-employed/highly qualified employee/officer,1.0,,yes,1
no checking account,12.0,existing credits paid back duly till now,radio/television,1768.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,none,2.0,real estate,24.0,,,,unskilled - resident,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,10.0,,car (new),,,... >= 7 years,4.0,,,4.0,unknown/no property,63.0,none,for free,2.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,radio/television,1924.0,unknown/no savings account,... < 1 year,4.0,female : divorced/separated/married,none,3.0,real estate,27.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,12.0,critical account/other credits existing,car (new),,... < 100 DM,1 <= ... < 4 years,4.0,,none,2.0,building society savings agreement/life insurance,30.0,,own,2.0,skilled employee/official,,no,,1
,12.0,existing credits paid back duly till now,domestic appliances,701.0,... < 100 DM,1 <= ... < 4 years,,male : married/widowed,none,2.0,real estate,40.0,none,own,1.0,unskilled - resident,,no,,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,education,639.0,... < 100 DM,,4.0,male : single,none,2.0,,30.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,12.0,critical account/other credits existing,car (used),1860.0,... < 100 DM,unemployed,4.0,,none,2.0,car or other,34.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,12.0,critical account/other credits existing,car (new),3499.0,... < 100 DM,1 <= ... < 4 years,3.0,female : divorced/separated/married,co-applicant,2.0,real estate,29.0,none,own,2.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,car (new),8487.0,unknown/no savings account,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,,car or other,24.0,none,,1.0,skilled employee/official,,no,,1
,36.0,delay in paying off in the past,retraining,6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,building society savings agreement/life insurance,29.0,stores,own,1.0,skilled employee/official,1.0,yes,yes,0
no checking account,15.0,existing credits paid back duly till now,,2708.0,,... < 1 year,2.0,male : single,none,3.0,,27.0,bank,own,2.0,unskilled - resident,1.0,no,yes,1
no checking account,18.0,existing credits paid back duly till now,radio/television,1984.0,... < 100 DM,1 <= ... < 4 years,,male : single,none,4.0,unknown/no property,,bank,for free,2.0,skilled employee/official,1.0,no,,1
no checking account,60.0,existing credits paid back duly till now,domestic appliances,10144.0,100 <= ... < 500 DM,4 <= ... < 7 years,2.0,female : divorced/separated/married,none,4.0,real estate,21.0,,own,,skilled employee/official,1.0,,yes,1
no checking account,12.0,,domestic appliances,1240.0,unknown/no savings account,... >= 7 years,4.0,female : divorced/separated/married,none,2.0,real estate,38.0,,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,27.0,delay in paying off in the past,car (used),8613.0,... >= 1000 DM,1 <= ... < 4 years,2.0,,none,2.0,car or other,27.0,,own,2.0,skilled employee/official,1.0,no,yes,1
